Country,Year,Code,ES,GDP,articles
Albania,2020,ALB,3.3423,14869.22,58.3079
Algeria,2020,DZA,6.1939173,14194.155,130.92754
Andorra,2020,AND,2.6321304,55488.492,124.80218
Angola,2020,AGO,2.6674473,7556.968,1.3584222
Antigua and Barbuda,2020,ATG,2.9934032,23915.162,78.664536
Argentina,2020,ARG,5.2769,23877.094,216.04367
Armenia,2020,ARM,2.70556,15052.936,213.63625
Australia,2020,AUS,5.37828,56215.58,2372.0547
Austria,2020,AUT,5.57127,60931.94,1537.9904
Azerbaijan,2020,AZE,4.33205,19126.096,96.60327
Bahamas,2020,BHS,3.7900116,25457.08,55.919384
Bahrain,2020,BHR,2.5523746,53814.246,333.4466
Bangladesh,2020,BGD,1.7652806,7015.1978,29.430725
Barbados,2020,BRB,4.1686,15749.038,241.49994
Belarus,2020,BLR,4.86264,26731.496,140.35144
Belgium,2020,BEL,6.80186,58500.633,1471.715
Belize,2020,BLZ,5.21632,10032.545,35.44923
Benin,2020,BEN,3.0944152,3317.8596,22.976921
Bhutan,2020,BTN,5.5434127,12979.937,103.11814
Bolivia,2020,BOL,8.43711,9000.976,12.762052
Bosnia and Herzegovina,2020,BIH,3.0195408,16983.043,281.01108
Botswana,2020,BWA,8.058336,16289.42,129.30391
Brazil,2020,BRA,5.7715,17327.516,329.70392
Bulgaria,2020,BGR,4.50514,27182.047,590.07355
Burkina Faso,2020,BFA,5.150865,2380.9316,11.441909
Burundi,2020,BDI,5.321585,833.9202,2.722535
Cambodia,2020,KHM,3.00235,6128.782,10.133035
Cameroon,2020,CMR,3.1039014,4763.482,42.674725
Canada,2020,CAN,4.88795,53274.91,1737.2346
Central African Republic,2020,CAF,2.1446805,1136.5706,3.24161
Chad,2020,TCD,2.739604,1780.563,0.8453137
Chile,2020,CHL,5.62993,26257.832,465.26642
China,2020,CHN,4.2333813,18833.785,470.01917
Comoros,2020,COM,2.3780508,3441.0703,4.2174835
Congo,2020,COG,4.619014,6350.5093,12.735474
Costa Rica,2020,CRI,6.62898,22479.59,130.0539
Cote d'Ivoire,2020,CIV,3.78674,5787.8154,8.9889555
Croatia,2020,HRV,4.38902,32479.234,1171.6377
Cyprus,2020,CYP,5.63694,45244.85,1200.1471
Czechia,2020,CZE,4.72159,47196.45,1423.803
Democratic Republic of Congo,2020,COD,2.6226385,1277.6328,1.8498023
Denmark,2020,DNK,7.38354,65791.11,2629.5007
Dominica,2020,DMA,4.6963,14508.923,89.153046
Dominican Republic,2020,DOM,4.5176983,19721.32,7.695687
East Timor,2020,TLS,3.6528735,6595.0547,9.130783
Ecuador,2020,ECU,4.26103,12425.018,161.91344
El Salvador,2020,SLV,3.66088,9692.449,2.696761
Estonia,2020,EST,5.52697,42099.355,1314.5597
Eswatini,2020,SWZ,5.3601046,9633.192,27.899578
Ethiopia,2020,ETH,4.090565,2516.5488,33.855354
Fiji,2020,FJI,5.8051953,11254.97,191.12805
Finland,2020,FIN,6.63494,55940.074,2048.7341
France,2020,FRA,5.65981,50610.633,1030.994
Gabon,2020,GAB,3.3987408,18681.484,26.598818
Gambia,2020,GMB,2.8873458,2702.319,22.606792
Georgia,2020,GEO,3.8498592,17031.145,164.81267
Germany,2020,DEU,5.59038,60747.273,1312.6134
Ghana,2020,GHA,3.40916,6412.6855,65.45226
Greece,2020,GRC,4.4950004,30529.26,1192.7686
Guatemala,2020,GTM,3.29503,11101.01,7.239075
Guinea,2020,GIN,2.43267,3630.9934,3.0821292
Haiti,2020,HTI,1.3710139,3229.4756,3.5553813
Honduras,2020,HND,5.976291,5603.264,10.3440485
Hungary,2020,HUN,4.15357,35949.918,766.9469
Iceland,2020,ISL,8.58383,59909.773,1865.131
India,2020,IND,4.0401416,7399.531,106.85621
Indonesia,2020,IDN,1.0159322,12388.545,119.74557
Iran,2020,IRN,3.20495,14397.153,661.6467
Ireland,2020,IRL,3.25082,102562.54,1731.2106
Israel,2020,ISR,6.47882,43004.207,1593.5394
Italy,2020,ITA,4.44136,46089.297,1435.6044
Jamaica,2020,JAM,5.617495,9178.32,71.30099
Japan,2020,JPN,3.30629,43238.297,806.5349
Kazakhstan,2020,KAZ,4.4462037,32011.549,156.51831
Kenya,2020,KEN,5.0457487,5057.4014,33.722298
Kuwait,2020,KWT,6.2451305,49124.54,263.69748
Kyrgyzstan,2020,KGZ,6.6197166,5537.796,30.139084
Laos,2020,LAO,1.9159727,7995.595,12.208656
Latvia,2020,LVA,4.85059,33012.453,774.5418
Lebanon,2020,LBN,1.6699681,12507.437,400.57925
Lesotho,2020,LSO,6.9979925,2517.1104,15.94425
Liberia,2020,LBR,2.1360142,1497.377,2.3724391
Lithuania,2020,LTU,4.50859,43875.64,971.14136
Luxembourg,2020,LUX,3.8535,130689.5,1502.1233
Madagascar,2020,MDG,3.2544339,1551.1256,5.783842
Malaysia,2020,MYS,4.518887,29200.453,659.1822
Maldives,2020,MDV,5.847608,14242.975,45.524258
Mali,2020,MLI,3.95446,2348.8818,4.65981
Malta,2020,MLT,5.644871,51613.863,1022.2871
Mauritania,2020,MRT,1.80265,5963.2354,4.6458845
Mauritius,2020,MUS,4.35244,21994.666,153.14795
Mexico,2020,MEX,4.5006,19964.967,159.32152
Micronesia (country),2020,FSM,10.539,3839.259,67.51755
Moldova,2020,MDA,6.60126,13559.26,88.043236
Mongolia,2020,MNG,4.663455,14801.342,63.65767
Morocco,2020,MAR,6.2842827,8054.563,175.87236
Mozambique,2020,MOZ,6.642563,1466.1248,5.5606084
Namibia,2020,NAM,9.277999,9652.248,79.844154
Nauru,2020,NRU,6.099194,11441.259,72.93946
Nepal,2020,NPL,4.2110667,4412.542,49.88649
Netherlands,2020,NLD,5.42381,65571.375,1914.4048
New Zealand,2020,NZL,5.65149,46289.387,1774.995
Nicaragua,2020,NIC,4.581561,6501.6875,5.5758667
Niger,2020,NER,3.819201,1615.6927,2.61572
Nigeria,2020,NGA,0.35963765,5410.6934,37.92084
Norway,2020,NOR,8.37282,86313.75,2465.144
Oman,2020,OMN,6.8777,37560.6,238.43347
Pakistan,2020,PAK,2.0571823,5135.0146,74.993065
Palau,2020,PLW,3.4711807,18160.256,316.12866
Panama,2020,PAN,4.30284,26881.799,60.280956
Papua New Guinea,2020,PNG,1.498,4077.6313,6.1140714
Paraguay,2020,PRY,3.93615,14991.66,23.197908
Peru,2020,PER,4.25938,13612.021,81.11451
Philippines,2020,PHL,3.8582904,8455.185,27.380186
Poland,2020,POL,4.85265,38122.438,956.7575
Portugal,2020,PRT,4.87656,37047.105,1660.3799
Qatar,2020,QAT,3.23367,103061.914,850.1081
Romania,2020,ROU,3.58926,35802.69,499.45685
Russia,2020,RUS,4.0164185,36746.375,617.832
Rwanda,2020,RWA,3.333943,2518.1653,20.080832
Saint Kitts and Nevis,2020,KNA,3.1035798,26707.107,706.7931
Saint Lucia,2020,LCA,3.62086,17141.938,18.187397
Saint Vincent and the Grenadines,2020,VCT,5.4637585,15677.588,70.71595
Samoa,2020,WSM,4.481005,6745.306,103.054886
San Marino,2020,SMR,3.42462,55998.07,331.39432
Sao Tome and Principe,2020,STP,5.0152383,5742.9473,9.558655
Senegal,2020,SEN,5.68698,4018.0413,24.07685
Seychelles,2020,SYC,4.8912005,30056.2,310.9574
Sierra Leone,2020,SLE,8.809548,2751.9666,7.911126
Singapore,2020,SGP,2.68699,115304.15,2067.9275
Slovakia,2020,SVK,4.76428,36278.3,993.2906
Slovenia,2020,SVN,5.38374,42807.46,1807.4298
Solomon Islands,2020,SLB,9.643546,2515.1284,22.858862
South Africa,2020,ZAF,6.17067,13266.786,270.1362
South Korea,2020,KOR,4.80172,46506.934,1398.223
Spain,2020,ESP,4.8954,41372.78,1385.8341
Sri Lanka,2020,LKA,1.5579239,13886.651,81.94629
Suriname,2020,SUR,4.584257,19091.361,32.154552
Sweden,2020,SWE,7.92561,59945.586,2110.1897
Switzerland,2020,CHE,5.27676,78023.34,2671.152
Tajikistan,2020,TJK,5.7372527,3724.749,11.70256
Tanzania,2020,TZA,3.2309725,3449.8215,14.532161
Thailand,2020,THA,3.1531417,19956.547,195.35446
Togo,2020,TGO,4.0913367,2490.053,10.225544
Tonga,2020,TON,4.8605165,6995.3174,87.778465
Trinidad and Tobago,2020,TTO,4.25767,31168.346,156.36877
Tunisia,2020,TUN,7.2650757,11889.292,424.68335
Turkey,2020,TUR,4.03382,28649.55,506.60355
Turkmenistan,2020,TKM,3.76267,15791.178,0.87993777
Uganda,2020,UGA,2.5722218,2678.009,21.034079
Ukraine,2020,UKR,5.38232,17092.54,290.98035
